ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,5022.53,5055.03,4992.01,5054.75,3507
2025-03-03 09:35:00-05:00,5050.55,5050.55,5023.17,5029.98,609
2025-03-03 09:40:00-05:00,5028.8,5030.79,5012.62,5017.7,488
2025-03-03 09:45:00-05:00,5010.01,5023.32,5005.62,5005.62,656
2025-03-03 09:50:00-05:00,5010.28,5010.48,4997.01,4997.275,711
2025-03-03 09:55:00-05:00,4995.0,4995.0,4968.74,4977.81,1433
2025-03-03 10:00:00-05:00,4977.59,4997.01,4966.0,4991.82,408
2025-03-03 10:05:00-05:00,4991.82,4998.91,4991.37,4991.61,66
2025-03-03 10:10:00-05:00,4991.61,5002.23,4991.61,4995.225,343
2025-03-03 10:15:00-05:00,4999.64,5001.62,4994.3,4994.3,67
2025-03-03 10:20:00-05:00,4997.285,5011.62,4996.78,5008.785,570
2025-03-03 10:25:00-05:00,5011.44,5018.57,5009.44,5014.71,927
2025-03-03 10:30:00-05:00,5012.77,5015.48,5007.16,5011.88,875
2025-03-03 10:35:00-05:00,5012.08,5012.08,5000.45,5007.32,275
2025-03-03 10:40:00-05:00,5002.84,5008.04,5000.35,5008.04,80
2025-03-03 10:45:00-05:00,5009.93,5009.93,4992.46,4994.68,1184
2025-03-03 10:50:00-05:00,4995.68,4996.22,4985.49,4991.0,794
2025-03-03 10:55:00-05:00,4991.16,4991.16,4977.58,4977.58,172
2025-03-03 11:00:00-05:00,4985.22,4993.17,4984.73,4984.73,689
2025-03-03 11:05:00-05:00,4989.32,4990.68,4984.73,4987.19,236
2025-03-03 11:10:00-05:00,4987.06,4990.09,4974.72,4983.4,641
2025-03-03 11:15:00-05:00,4981.66,4989.15,4973.98,4989.15,703
2025-03-03 11:20:00-05:00,4987.62,4987.72,4987.29,4987.29,12
2025-03-03 11:25:00-05:00,4985.19,4985.19,4976.22,4976.22,148
2025-03-03 11:30:00-05:00,4980.81,4990.64,4980.81,4982.94,282
2025-03-03 11:35:00-05:00,4979.35,4987.63,4979.35,4986.475,438
2025-03-03 11:40:00-05:00,4986.67,4988.25,4979.28,4979.28,398
2025-03-03 11:45:00-05:00,4984.91,4990.85,4982.735,4990.85,219
2025-03-03 11:50:00-05:00,4993.06,5003.94,4993.06,5003.94,391
2025-03-03 11:55:00-05:00,5004.48,5012.95,5002.65,5012.95,131
2025-03-03 12:00:00-05:00,5012.95,5017.73,5009.34,5017.73,869
2025-03-03 12:05:00-05:00,5018.07,5023.82,5018.07,5022.22,88
2025-03-03 12:10:00-05:00,5019.09,5023.83,5018.885,5018.885,325
