ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,154.18,156.49,154.18,156.4,6928
2025-03-03 09:35:00-05:00,156.475,157.14,156.38,156.73,5984
2025-03-03 09:40:00-05:00,156.82,157.005,156.59,156.83,3998
2025-03-03 09:45:00-05:00,156.7,157.36,156.7,157.0,4795
2025-03-03 09:50:00-05:00,157.07,157.4,156.97,157.25,4086
2025-03-03 09:55:00-05:00,157.26,158.19,157.225,157.99,10104
2025-03-03 10:00:00-05:00,157.9,158.09,157.61,157.61,8815
2025-03-03 10:05:00-05:00,157.61,157.83,157.365,157.38,7448
2025-03-03 10:10:00-05:00,157.36,157.42,157.05,157.08,5171
2025-03-03 10:15:00-05:00,157.08,157.44,157.06,157.19,3859
2025-03-03 10:20:00-05:00,157.18,157.195,156.72,156.72,2552
2025-03-03 10:25:00-05:00,156.88,157.15,156.88,157.08,1412
2025-03-03 10:30:00-05:00,157.02,157.08,156.8,157.04,3496
2025-03-03 10:35:00-05:00,157.01,157.165,156.92,157.13,3680
2025-03-03 10:40:00-05:00,157.085,157.425,157.03,157.285,2862
2025-03-03 10:45:00-05:00,157.24,157.41,157.15,157.405,2156
2025-03-03 10:50:00-05:00,157.36,157.5,157.31,157.47,3889
2025-03-03 10:55:00-05:00,157.48,157.625,157.46,157.61,3037
2025-03-03 11:00:00-05:00,157.585,157.655,157.06,157.07,5263
2025-03-03 11:05:00-05:00,157.09,157.09,156.71,156.89,3407
2025-03-03 11:10:00-05:00,156.865,157.17,156.82,157.17,3938
2025-03-03 11:15:00-05:00,157.1,157.66,157.04,157.65,5735
2025-03-03 11:20:00-05:00,157.56,157.89,157.53,157.89,2972
2025-03-03 11:25:00-05:00,157.83,157.84,157.22,157.24,5326
2025-03-03 11:30:00-05:00,157.26,157.41,157.06,157.16,6341
2025-03-03 11:35:00-05:00,157.17,157.38,157.12,157.28,1632
2025-03-03 11:40:00-05:00,157.29,157.305,157.09,157.09,1031
2025-03-03 11:45:00-05:00,157.08,157.16,157.035,157.11,2217
2025-03-03 11:50:00-05:00,157.17,157.245,157.15,157.245,1750
2025-03-03 11:55:00-05:00,157.26,157.52,157.25,157.44,2951
2025-03-03 12:00:00-05:00,157.46,157.65,157.43,157.6,3786
2025-03-03 12:05:00-05:00,157.63,157.65,157.52,157.56,2325
2025-03-03 12:10:00-05:00,157.565,157.83,157.56,157.82,2075
2025-03-03 12:15:00-05:00,157.81,157.86,157.73,157.8,4623
2025-03-03 12:20:00-05:00,157.855,157.92,157.77,157.77,1620
