is_return,is_sharpe,is_trades,is_win_rate,oos_return,oos_sharpe,oos_trades,oos_win_rate,score,ticker,atr,rr,sma,rsi,gauss,orb,cutoff
9.187808707558087,2.838999406659357,43,51.162790697674424,5.009573824589109,3.387418339199736,24,62.5,0.9156999703329679,UNH,2.0,2.0,True,True,False,09:45,11:00
8.039981948421548,2.6623991309453063,43,55.81395348837209,4.54532285988416,3.312574243479268,24,66.66666666666666,0.9131199565472653,UNH,2.0,1.5,True,True,False,09:45,11:00
7.281109854967438,2.598489546812179,42,50.0,5.462090223636462,4.263270504564341,24,62.5,0.903674477340609,UNH,1.5,2.0,True,True,True,09:45,11:00
7.839636830491603,2.560982401344417,40,50.0,4.889719120376457,3.311491812722802,24,62.5,0.901799120067221,UNH,2.0,2.0,True,True,True,09:45,11:00
6.433836148839034,2.271994273212233,40,55.00000000000001,4.425998037472079,3.231290845478126,24,66.66666666666666,0.8935997136606116,UNH,2.0,1.5,True,True,True,09:45,11:00
8.58342390331266,2.901355761122807,35,51.42857142857142,3.1558034939912716,2.679406669730417,23,65.21739130434783,0.8862632346430249,UNH,2.5,3.0,True,True,False,09:45,11:00
6.990626938842492,2.2608348508710705,42,40.476190476190474,5.237459696706859,3.834564095266201,24,58.333333333333336,0.8805417425435534,UNH,1.5,3.0,True,True,True,09:45,11:00
7.118577939053217,2.112176340792185,41,48.78048780487805,5.105567224111618,3.7864305555313296,23,65.21739130434783,0.8801015706627976,UNH,2.5,2.0,True,True,False,09:45,11:00
6.866687894665113,2.1018706882277276,42,52.38095238095239,5.726701389710431,4.238112736333185,23,65.21739130434783,0.8795862880345747,UNH,2.5,1.5,True,True,False,09:45,11:00
8.729543436543285,2.432356289107658,45,53.333333333333336,5.145622563391794,3.7154627082330403,18,61.111111111111114,0.8732844811220496,AMAT,2.5,1.5,True,True,True,09:40,11:00
7.250159895889441,2.6132400038909407,32,50.0,3.0380646263310274,2.586287272710074,23,65.21739130434783,0.8710263442911998,UNH,2.5,3.0,True,True,True,09:45,11:00
5.803300345489082,1.830653937942991,38,47.368421052631575,4.985602955979318,3.702888117702005,23,65.21739130434783,0.8660254505203379,UNH,2.5,2.0,True,True,True,09:45,11:00
5.340904410901182,1.7688425730839832,46,47.82608695652174,5.582598961150564,4.351371468162376,24,62.5,0.8621921286541993,UNH,1.5,2.0,True,True,False,09:45,11:00
4.894764840672794,1.61983497035786,39,51.28205128205128,5.606028178107669,4.153919624855541,23,65.21739130434783,0.8554845021410814,UNH,2.5,1.5,True,True,True,09:45,11:00
8.734962379458565,2.2612289215136983,47,46.808510638297875,4.605224314767509,3.186444218647421,21,47.61904761904761,0.8544900175042562,TXN,2.0,3.0,True,True,True,09:40,11:00
9.833648153866337,1.577725945800274,68,39.705882352941174,9.314086391918352,3.1636538661662725,30,50.0,0.8538862972900136,INTC,1.25,3.0,True,True,True,09:40,11:00
5.467594265943276,1.7146076614677759,48,50.0,4.886436801820304,3.482549733359913,20,60.0,0.8423970497400555,AMAT,2.0,1.5,True,True,True,09:40,11:00
4.7877374943807505,1.468627730969667,46,39.130434782608695,5.35771175486679,3.9170151764727037,24,58.333333333333336,0.8409313865484834,UNH,1.5,3.0,True,True,False,09:45,11:00
5.874563853785286,2.1520334320510086,38,47.368421052631575,4.52825521494542,2.5100366584368055,25,56.00000000000001,0.8357379376108282,CAT,2.5,2.0,True,True,True,09:40,11:00
3.078554482149576,1.0207074880444642,67,47.76119402985074,6.983100970929157,3.6560079119002085,38,52.63157894736842,0.8299827428232758,WMT,2.0,2.0,True,False,True,09:45,11:00
4.584409883997265,1.3971397121669893,65,47.69230769230769,5.287992429031174,2.7778547760875782,37,51.35135135135135,0.8291123947223827,WMT,2.0,3.0,True,False,True,09:45,11:00
6.400349219494927,2.0509506341028403,48,43.75,3.780018239709748,2.6972176796908838,22,50.0,0.826658279413746,AMAT,1.25,3.0,True,True,True,09:40,11:00
8.857218792822508,2.4645771367501026,43,46.51162790697674,3.3752424022657213,2.567086371920091,19,47.368421052631575,0.8229817315033932,TXN,2.0,3.0,True,True,True,09:45,11:00
5.185230441700406,0.8692937385724934,87,44.827586206896555,4.7811787632038305,3.055092176190343,28,57.14285714285714,0.8225123059762438,UNH,1.5,2.0,True,False,True,09:45,11:00
9.010681638042662,2.510253944590168,45,51.11111111111111,3.23824376029489,2.4975360356523004,19,47.368421052631575,0.8191949066530486,TXN,2.0,2.0,True,True,True,09:45,11:00
4.20676121449397,1.137610943957949,75,46.666666666666664,5.787783529211632,2.812495632497084,39,51.28205128205128,0.818803274720741,WMT,2.0,3.0,True,False,False,09:45,11:00
2.7063433753728328,0.7957835106863383,77,46.75324675324675,7.49093857426284,3.6238526017156456,40,52.5,0.8185391755343169,WMT,2.0,2.0,True,False,False,09:45,11:00
